callsign,,icao24,origin,destination,firstseen
AAR284,,71be18,KLAX,KSFO,2/1/2020
AAL851,,aca3a3,KLAX,KPHL,2/1/2020
KAL214,,71be39,KLAX,KSFO,2/1/2020
ASA18,,acc774,KSEA,KJFK,2/1/2020
AAL782,,a6d3b3,KPHX,KPHL,2/1/2020
AAL9661,,aafbdf,KLAX,KDFW,2/1/2020
ASA176,,a7fdab,PANC,KSEA,2/1/2020
UAL614,,a41e94,KSEA,KORD,2/1/2020
JBU1424,,ad0074,KLAX,KJFK,2/1/2020
ASA982,,a79768,KSEA,KFLL,2/1/2020
ASA460,,a4df56,KLAX,KJFK,2/1/2020
AAL296,,a06010,KLAX,KORD,2/1/2020
UAL660,,a2e045,KLAX,KORD,2/1/2020
NKS972,,a91e6e,KPHX,KDFW,2/1/2020
DAL1362,,a120f3,KLAX,KJFK,2/1/2020
AAL2254,,a6c4d7,KLAX,KDFW,2/1/2020
DAL8941,,a8c36d,KLAX,KPDX,2/1/2020
ASA1402,,a2228b,KSEA,KPDX,2/1/2020
AAL9662,,a99d89,KLAX,KDFW,2/1/2020
AAL1295,,ad9bc8,KPHX,KDFW,2/1/2020
JBU2024,,ad27f3,KLAX,KJFK,2/1/2020
AAL1540,,acb470,KSEA,KORD,2/1/2020
ASA1010,,a21ed4,KSEA,KORD,2/1/2020
AAL292,,a03765,KLAX,KJFK,2/1/2020
CAL5238,,899101,PANC,KORD,2/1/2020
AAL1405,,a0aa2b,KLAX,KDFW,2/1/2020
AIJ820,,0d070a,KORD,KSJC,2/1/2020
ASA108,,a30bce,PANC,KSEA,2/1/2020
DAL2024,,ab6efc,PANC,KSEA,2/1/2020
AAL2006,,aa234a,KDTW,KPHL,2/1/2020
AAL1108,,ad5fea,KDTW,KDFW,2/1/2020
SKW2981,,aa5d23,KDTW,KORD,2/1/2020
AAL2442,,adac5d,KIAH,KDFW,2/1/2020
